episode,step,timestamp,action,state,reward,done,epsilon
0,83,2025-07-16T17:47:21.979648,cam_right,"[150.0, 150.0, 150.0, 291.00000000000006, 181.92220635260242, 4850.0, 0.0, 0.988240661203861]",-0.1,False,1.0
0,84,2025-07-16T17:47:21.988148,left,"[150.0, 150.0, 150.0, 288.00000000000006, 181.92220635260242, 4800.000000000001, 0.0, 0.9880246310830114]",-0.1,False,1.0
0,85,2025-07-16T17:47:21.997148,cam_right,"[150.0, 150.0, 150.0, 300.0, 181.83625623697753, 5000.0, 0.0, 0.9878121166825292]",-0.1,False,1.0
0,86,2025-07-16T17:47:22.006147,stop,"[150.0, 150.0, 150.0, 300.0, 181.66431731366606, 5000.0, 0.0, 0.9875996201634405]",-0.1,False,1.0
0,87,2025-07-16T17:47:22.014648,left,"[150.0, 150.0, 150.0, 297.0, 181.5792266991973, 4950.0, 0.0, 0.9873768922090528]",-0.1,False,1.0
0,88,2025-07-16T17:47:22.024148,left,"[150.0, 150.0, 150.0, 300.0, 181.40728777588595, 5000.0, 0.0, 0.9871518608331677]",-0.1,False,1.0
0,89,2025-07-16T17:47:22.032648,backward,"[150.0, 150.0, 150.0, 300.0, 181.14928259106205, 5000.0, 0.0, 0.9869268711805341]",-0.1,False,1.0
0,90,2025-07-16T17:47:22.041648,cam_left,"[150.0, 150.0, 150.0, 288.0, 180.9842212246831, 4800.0, 0.0, 0.9867108696699141]",-0.1,False,1.0
0,91,2025-07-16T17:47:22.050648,cam_center,"[150.0, 150.0, 150.0, 276.0, 180.90514711830815, 4600.0, 0.0, 0.9865153728723524]",-0.1,False,1.0
0,92,2025-07-16T17:47:22.059149,cam_center,"[150.0, 150.0, 150.0, 263.99999999999994, 180.90514711830815, 4399.999999999999, 0.0, 0.9863173714876172]",-0.1,False,1.0
0,93,2025-07-16T17:47:22.067649,cam_right,"[150.0, 150.0, 150.0, 251.99999999999994, 180.90514711830815, 4199.999999999999, 0.0, 0.9861283701658247]",-0.1,False,1.0
0,94,2025-07-16T17:47:22.076148,stop,"[150.0, 150.0, 150.0, 239.99999999999994, 180.90514711830815, 3999.999999999999, 0.0, 0.9859583634138105]",-0.1,False,1.0
0,95,2025-07-16T17:47:22.085648,cam_right,"[150.0, 150.0, 150.0, 236.99999999999994, 180.90514711830815, 3949.999999999999, 0.0, 0.9857905005812643]",-0.1,False,1.0
0,96,2025-07-16T17:47:22.094148,cam_right,"[150.0, 150.0, 150.0, 233.99999999999997, 180.90514711830815, 3899.9999999999995, 0.0, 0.9856247439980504]",-0.1,False,1.0
0,97,2025-07-16T17:47:22.103147,cam_center,"[150.0, 150.0, 150.0, 230.99999999999997, 180.90514711830815, 3849.9999999999995, 0.0, 0.9854418730735777]",-0.1,False,1.0
0,98,2025-07-16T17:47:22.111649,backward,"[150.0, 150.0, 150.0, 228.0, 180.90514711830815, 3800.0, 0.0, 0.9852803711891173]",-0.1,False,1.0
0,99,2025-07-16T17:47:22.121148,stop,"[150.0, 150.0, 150.0, 215.99999999999997, 180.90514711830815, 3600.0, 0.0, 0.985118378639221]",-0.1,False,1.0
1,0,2025-07-16T17:47:25.616148,cam_center,"[150.0, 150.0, 150.0, 0.0, 180.0, 0.0, 0.0, 1.0]",-0.1,False,0.995
1,1,2025-07-16T17:47:25.625149,left,"[150.0, 150.0, 150.0, 0.0, 180.0, 0.0, 0.0, 1.0]",-0.1,False,0.995
1,2,2025-07-16T17:47:25.635147,backward,"[150.0, 150.0, 150.0, 12.0, 179.99656199537503, 200.0, 0.0, 0.9999925026893616]",-0.1,False,0.995
1,3,2025-07-16T17:47:25.644148,left,"[150.0, 150.0, 150.0, 0.0, 179.99656199537503, 0.0, 0.0, 0.9999925026893616]",-0.1,False,0.995
1,4,2025-07-16T17:47:25.654149,backward,"[150.0, 150.0, 150.0, 12.0, 179.99312399075006, 200.0, 0.0, 0.9999830029010772]",-0.1,False,0.995
1,5,2025-07-16T17:47:25.663150,cam_center,"[150.0, 150.0, 150.0, 0.0, 179.99312399075006, 0.0, 0.0, 0.9999830029010772]",-0.1,False,0.995
1,6,2025-07-16T17:47:25.672147,cam_left,"[150.0, 150.0, 150.0, 12.0, 179.99312399075006, 200.0, 0.0, 0.9999730021953582]",-0.1,False,0.995
1,7,2025-07-16T17:47:25.681648,backward,"[150.0, 150.0, 150.0, 24.0, 179.99312399075006, 400.0, 0.0, 0.9999550034999847]",-0.1,False,0.995
1,8,2025-07-16T17:47:25.690648,forward,"[150.0, 150.0, 150.0, 36.00000000000001, 179.99312399075006, 600.0000000000001, 0.0, 0.9999280011653899]",-0.1,False,0.995
1,9,2025-07-16T17:47:25.700647,right,"[150.0, 150.0, 150.0, 24.000000000000004, 179.99312399075006, 400.00000000000006, 0.0, 0.9999100015163421]",-0.1,False,0.995
1,10,2025-07-16T17:47:25.710148,stop,"[150.0, 150.0, 150.0, 12.000000000000004, 179.9896859861251, 200.00000000000009, 0.0, 0.9999010019302368]",-0.1,False,0.995
1,11,2025-07-16T17:47:25.719648,cam_right,"[150.0, 150.0, 150.0, 9.000000000000005, 179.9896859861251, 150.00000000000009, 0.0, 0.9998931267857551]",-0.1,False,0.995
1,12,2025-07-16T17:47:25.728649,right,"[150.0, 150.0, 150.0, 6.000000000000004, 179.9896859861251, 100.00000000000007, 0.0, 0.9998883767724037]",-0.1,False,0.995
1,13,2025-07-16T17:47:25.737648,backward,"[150.0, 150.0, 150.0, 5.9999999999999964, 179.99140498843758, 99.99999999999993, 0.0, 0.9998838768601418]",-0.1,False,0.995
1,14,2025-07-16T17:47:25.747148,right,"[150.0, 150.0, 150.0, 6.000000000000004, 179.99140498843758, 100.00000000000007, 0.0, 0.9998791267275811]",-0.1,False,0.995
1,15,2025-07-16T17:47:25.756148,left,"[150.0, 150.0, 150.0, 5.9999999999999964, 179.99312399075006, 99.99999999999993, 0.0, 0.9998748770356178]",-0.1,False,0.995
1,16,2025-07-16T17:47:25.765149,backward,"[150.0, 150.0, 150.0, 17.999999999999996, 179.99312399075006, 299.99999999999994, 0.0, 0.9998606266379356]",-0.1,False,0.995
1,17,2025-07-16T17:47:25.774149,left,"[150.0, 150.0, 150.0, 5.999999999999996, 179.99312399075006, 99.99999999999991, 0.0, 0.9998561268448829]",-0.1,False,0.995
1,18,2025-07-16T17:47:25.783649,cam_left,"[150.0, 150.0, 150.0, 17.999999999999996, 179.9879669838125, 299.99999999999994, 0.0, 0.9998418757319449]",-0.1,False,0.995
1,19,2025-07-16T17:47:25.792647,right,"[150.0, 150.0, 150.0, 29.999999999999996, 179.9707730914813, 499.99999999999994, 0.0, 0.999819377362728]",-0.1,False,0.995
1,20,2025-07-16T17:47:25.802149,forward,"[150.0, 150.0, 150.0, 42.0, 179.95874007529392, 699.9999999999999, 0.0, 0.9997878779768943]",-0.1,False,0.995
1,21,2025-07-16T17:47:25.812148,stop,"[150.0, 150.0, 150.0, 53.99999999999999, 179.95874007529392, 900.0, 0.0, 0.9997451267838477]",-0.1,False,0.995
1,22,2025-07-16T17:47:25.821648,stop,"[150.0, 150.0, 150.0, 50.99999999999999, 179.95874007529392, 849.9999999999999, 0.0, 0.9997047506570815]",-0.1,False,0.995
1,23,2025-07-16T17:47:25.830648,cam_left,"[150.0, 150.0, 150.0, 47.999999999999986, 179.95874007529392, 799.9999999999999, 0.0, 0.9996647449731826]",-0.1,False,0.995
1,24,2025-07-16T17:47:25.839649,forward,"[150.0, 150.0, 150.0, 44.999999999999986, 179.95874007529392, 749.9999999999999, 0.0, 0.9996291225552558]",-0.1,False,0.995
1,25,2025-07-16T17:47:25.849148,stop,"[150.0, 150.0, 150.0, 56.999999999999986, 179.95874007529392, 949.9999999999998, 0.0, 0.9995863665938377]",-0.1,False,0.995
1,26,2025-07-16T17:47:25.859148,right,"[150.0, 150.0, 150.0, 53.99999999999998, 179.95874007529392, 899.9999999999997, 0.0, 0.9995458759665489]",-0.1,False,0.995
1,27,2025-07-16T17:47:25.868647,stop,"[150.0, 150.0, 150.0, 65.99999999999997, 179.97764910073136, 1099.9999999999995, 0.0, 0.9994936140179633]",-0.1,False,0.995
1,28,2025-07-16T17:47:25.878148,cam_right,"[150.0, 150.0, 150.0, 62.99999999999998, 179.97764910073136, 1049.9999999999995, 0.0, 0.9994411240816116]",-0.1,False,0.995
1,29,2025-07-16T17:47:25.887149,left,"[150.0, 150.0, 150.0, 59.99999999999997, 179.97764910073136, 999.9999999999995, 0.0, 0.9993936179876327]",-0.1,False,0.995
1,30,2025-07-16T17:47:25.897149,cam_left,"[150.0, 150.0, 150.0, 71.99999999999997, 179.95702107298143, 1199.9999999999995, 0.0, 0.9993366292715072]",-0.1,False,0.995
1,31,2025-07-16T17:47:25.906146,cam_left,"[150.0, 150.0, 150.0, 83.99999999999997, 179.90887817445423, 1399.9999999999995, 0.0, 0.9992736171483994]",-0.1,False,0.995
1,32,2025-07-16T17:47:25.915648,cam_center,"[150.0, 150.0, 150.0, 95.99999999999997, 179.8263165153105, 1599.9999999999995, 0.0, 0.9991936229467392]",-0.1,False,0.995
1,33,2025-07-16T17:47:25.924149,cam_center,"[150.0, 150.0, 150.0, 107.99999999999996, 179.70240890673438, 1799.9999999999993, 0.0, 0.9991126395463943]",-0.1,False,0.995
1,34,2025-07-16T17:47:25.933648,stop,"[150.0, 150.0, 150.0, 119.99999999999996, 179.53019855263085, 1999.9999999999993, 0.0, 0.9990226269960403]",-0.1,False,0.995
1,35,2025-07-16T17:47:25.946148,cam_center,"[150.0, 150.0, 150.0, 116.99999999999996, 179.39596531000666, 1949.9999999999993, 0.0, 0.9989348670840262]",-0.1,False,0.995
1,36,2025-07-16T17:47:25.956149,cam_center,"[150.0, 150.0, 150.0, 113.99999999999996, 179.29792333977366, 1899.999999999999, 0.0, 0.9988446281552313]",-0.1,False,0.995
1,37,2025-07-16T17:47:25.964647,left,"[150.0, 150.0, 150.0, 110.99999999999996, 179.2343059381484, 1849.999999999999, 0.0, 0.9987290005087851]",-0.1,False,0.995
1,38,2025-07-16T17:47:25.974148,stop,"[150.0, 150.0, 150.0, 122.99999999999996, 179.12852381237053, 2049.9999999999995, 0.0, 0.998631627678871]",-0.1,False,0.995
1,39,2025-07-16T17:47:25.983148,forward,"[150.0, 150.0, 150.0, 119.99999999999996, 179.059748243046, 1999.9999999999993, 0.0, 0.9985416103601454]",-0.1,False,0.995
1,40,2025-07-16T17:47:25.992647,cam_left,"[150.0, 150.0, 150.0, 131.99999999999994, 179.021930192171, 2199.999999999999, 0.0, 0.9984426306486128]",-0.1,False,0.995
1,41,2025-07-16T17:47:26.001648,cam_right,"[150.0, 150.0, 150.0, 143.99999999999997, 179.021930192171, 2399.9999999999995, 0.0, 0.9983286188840864]",-0.1,False,0.995
1,42,2025-07-16T17:47:26.010647,cam_center,"[150.0, 150.0, 150.0, 155.99999999999997, 179.021930192171, 2599.9999999999995, 0.0, 0.9982051309347151]",-0.1,False,0.995
1,43,2025-07-16T17:47:26.019648,backward,"[150.0, 150.0, 150.0, 168.0, 179.021930192171, 2799.9999999999995, 0.0, 0.9980791167020796]",-0.1,False,0.995
1,44,2025-07-16T17:47:26.029648,stop,"[150.0, 150.0, 150.0, 155.99999999999997, 179.021930192171, 2599.9999999999995, 0.0, 0.9979621251821517]",-0.1,False,0.995
1,45,2025-07-16T17:47:26.038148,cam_right,"[150.0, 150.0, 150.0, 153.0, 179.021930192171, 2550.0, 0.0, 0.9978473622202871]",-0.1,False,0.995
1,46,2025-07-16T17:47:26.047147,stop,"[150.0, 150.0, 150.0, 150.0, 179.021930192171, 2500.0, 0.0, 0.9977286267876623]",-0.1,False,0.995
1,47,2025-07-16T17:47:26.057647,right,"[150.0, 150.0, 150.0, 147.0, 179.021930192171, 2450.0000000000005, 0.0, 0.9976183555722234]",-0.1,False,0.995
1,48,2025-07-16T17:47:26.067148,backward,"[150.0, 150.0, 150.0, 159.00000000000003, 179.06748375345228, 2650.0, 0.0, 0.9974991331696508]",-0.1,False,0.995
1,49,2025-07-16T17:47:26.076648,right,"[150.0, 150.0, 150.0, 147.0, 179.06748375345228, 2450.0000000000005, 0.0, 0.9973704941272733]",-0.1,False,0.995
1,50,2025-07-16T17:47:26.086648,cam_right,"[150.0, 150.0, 150.0, 159.00000000000003, 179.11303731473345, 2650.0, 0.0, 0.9972446282505987]",-0.1,False,0.995
1,51,2025-07-16T17:47:26.096647,cam_left,"[150.0, 150.0, 150.0, 171.00000000000003, 179.21104250102098, 2850.0000000000005, 0.0, 0.9971092596650122]",-0.1,False,0.995
